Elapsed Time   , Data  , ADC     , StartCells, OpenWire, Discharge, StartAux   , StartStatus, BRD#01 ADDR , CELL01, CELL02, CELL03, CELL04, CELL05, CELL06, CELL07, CELL08, CELL09, CELL10, CELL11, CELL12, GPIO1, GPIO2, GPIO3, GPIO4, GPIO5, VREF2, SOC   , ITMP  , VREGA , VREGD , 
0000:00:00.000, 0, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3361, 2.1342, 2.3294, 2.0644, 2.3430, 2.3412, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2942, 3.9898, 4.0524, 0.0000, 5.0171, 5.0174, 3.0022, 13.6220, 2.2806, 5.0586, 3.2060, 
0000:00:00.299, 1, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3359, 2.1340, 2.3293, 2.0643, 2.3429, 2.3413, 0.0000, 0.0000, 0.0044, 0.0000, 0.0000, 0.2736, 3.9887, 4.0513, 0.0000, 5.0173, 5.0175, 3.0022, 13.6220, 2.2808, 5.0589, 3.2059, 
0000:00:00.818, 2, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3360, 2.1340, 2.3294, 2.0641, 2.3429, 2.2684, 0.0000, 0.0000, 0.0106, 0.0000, 0.0000, 0.2452, 3.9878, 4.0512, 0.0000, 5.0175, 5.0173, 3.0024, 13.5340, 2.2811, 5.0596, 3.2062, 
0000:00:01.319, 3, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3359, 2.1339, 2.3293, 2.0642, 2.3430, 2.3406, 0.0000, 0.0000, 0.0199, 0.0000, 0.0000, 0.2220, 3.9893, 4.0519, 0.0000, 5.0176, 5.0176, 3.0023, 13.6200, 2.2809, 5.0593, 3.2061, 
0000:00:01.820, 4, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3358, 2.1339, 2.3293, 2.0640, 2.3429, 2.3404, 0.0000, 0.0119, 0.0292, 0.0000, 0.0000, 0.1997, 3.9890, 4.0517, 0.0000, 5.0178, 5.0178, 3.0022, 13.6200, 2.2810, 5.0591, 3.2057, 
0000:00:02.321, 5, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3359, 2.1338, 2.3293, 2.0640, 2.3430, 2.3406, 0.0000, 0.0304, 0.0371, 0.0000, 0.0000, 0.1783, 3.9897, 4.0520, 0.0000, 5.0176, 5.0171, 3.0022, 13.6240, 2.2809, 5.0591, 3.2058, 
0000:00:02.808, 6, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3359, 2.1338, 2.3293, 2.0639, 2.3429, 2.3405, 0.0000, 0.0473, 0.0439, 0.0000, 0.0000, 0.1589, 3.9897, 4.0531, 0.0000, 5.0177, 5.0174, 3.0022, 13.6200, 2.2810, 5.0594, 3.2060, 
0000:00:03.325, 7, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3359, 2.1338, 2.3293, 2.0638, 2.3428, 2.3410, 0.0000, 0.0595, 0.0465, 0.0000, 0.0000, 0.1434, 3.9904, 4.0525, 0.0000, 5.0172, 5.0177, 3.0021, 13.6220, 2.2809, 5.0593, 3.2061, 
0000:00:03.844, 8, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3359, 2.1337, 2.3293, 2.0637, 2.3429, 2.3412, 0.0000, 0.0671, 0.0458, 0.0000, 0.0000, 0.1326, 3.9896, 4.0533, 0.0000, 5.0172, 5.0177, 3.0022, 13.6220, 2.2809, 5.0593, 3.2056, 
0000:00:04.362, 9, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3360, 2.1336, 2.3293, 2.0638, 2.3429, 2.3410, 0.0000, 0.0739, 0.0449, 0.0000, 0.0000, 0.1230, 3.9897, 4.0515, 0.0000, 5.0182, 5.0177, 3.0022, 13.6220, 2.2808, 5.0593, 3.2063, 
